Rank,Name,Nat.,20/09 Belgrade (SA),27/09 Gand (SA),04/10 Genève (SA),11/10 Split (SA),18/10 Dublin (SA),25/10 Barcelone (SA),05/12 Vancouver (A),09/01 Fujairah (A),24/01 Doha (GP),05/02 Heidenheim (A),26/03 Astana (A),17/04 Budapest (GP),08/05 Medellín (GP),22/05 Berne (A),01/06 Abidjan (CHZ),16/06 Lima (CHZ),16/06 Antony (CHZ),20/06 Delhi (CHZ),23/07 Hong Kong (CHM),Total points
1,ELSAYED Mohamed,EGY,,,,,,,32.0,8.0,21.0,20.0,20.0,3.0,12.0,32.0,48.0,,,,35.0,208.0
2,KANO Koki,JPN,,,,,,,4.0,4.0,12.0,14.0,14.0,21.0,48.0,8.0,,,,30.0,35.0,174.0
3,MENCARELLI Simone,ITA,,,,,,,1.0,4.0,39.0,1.0,1.0,1.5,30.0,4.0,,,48.0,,20.0,146.5
4,TULEN Tristan,NED,,0.25,,,4.0,,4.0,1.0,48.0,20.0,4.0,30.0,21.0,4.0,,,6.0,,5.0,134.0
5,GALASSI Matteo,ITA,,,0.25,,,,20.0,26.0,6.0,8.0,14.0,6.0,39.0,14.0,,,6.0,,10.0,129.0
6,YAMADA Masaru,JPN,,,,,,,8.0,4.0,3.0,8.0,,6.0,3.0,4.0,,,,48.0,50.0,128.0
7,DI VEROLI Davide,ITA,,,,,,,4.0,8.0,12.0,26.0,4.0,6.0,,2.0,,,3.0,,65.0,124.0
8,KURBANOV Ruslan,KAZ,,,,,,,8.0,8.0,3.0,32.0,26.0,,3.0,4.0,,,,30.0,10.0,118.0
9,KONGSTAD Conrad Seibaek,DEN,,,,,,,0.25,32.0,1.5,8.0,8.0,0.75,21.0,2.0,,,30.0,,10.0,111.0
10,SVICHKAR Roman,UKR,,,,0.25,,,1.0,14.0,21.0,4.0,32.0,3.0,3.0,14.0,,,3.0,,20.0,108.0
11,KOCH Mate Tamas,HUN,,,,,,,14.0,20.0,6.0,4.0,14.0,3.0,21.0,4.0,,,12.0,,20.0,107.0
12,MALCOTTI Lucas,SUI,,,0.0,,,,0.25,1.0,0.75,8.0,4.0,1.5,6.0,1.0,,,3.0,,80.0,103.5
13,ANDRASFI Tibor,HUN,,,,,,,14.0,2.0,12.0,4.0,2.0,3.0,3.0,26.0,,,21.0,,20.0,100.0
14,NAGY David,HUN,,,,,,,4.0,0.25,12.0,4.0,20.0,48.0,3.0,4.0,,,6.0,,5.0,99.0
15,JURKA Jakub,CZE,,,,,,,4.0,8.0,21.0,14.0,4.0,21.0,3.0,20.0,,,6.0,,5.0,95.0
16,SIKLOSI Gergely,HUN,,,,,,,20.0,2.0,30.0,4.0,4.0,12.0,,4.0,,,3.0,,20.0,93.0
17,FEINBERG Gabriel,USA,,,,,,,1.0,2.0,21.0,0.25,2.0,3.0,1.5,0.5,,48.0,,,1.25,78.75
18,LUGONES RUGGERI Jesus Andres,ARG,,,,,,0.25,,,,2.0,,6.0,6.0,0.5,,39.0,,,20.0,73.75
19,SHVELIDZE Dmitrii,RUS,,,,,,,8.0,1.0,1.5,4.0,2.0,21.0,,2.0,,,1.5,,35.0,73.5
20,BAYARD Alexis,SUI,,,3.0,,,,8.0,20.0,12.0,8.0,8.0,6.0,6.0,8.0,,,12.0,,5.0,73.0
21,PROKHODOV Kirill,KAZ,,,,,,,4.0,2.0,3.0,14.0,8.0,0.375,3.0,0.5,,,,21.0,20.0,73.0
22,SERTAY Yerlik,KAZ,,,,,,,0.25,4.0,3.0,1.0,2.0,39.0,3.0,0.0,,,,12.0,5.0,68.0
23,LOYOLA Neisser,BEL,,0.5,,,,,4.0,4.0,6.0,0.5,0.25,6.0,6.0,0.5,,,30.0,,10.0,66.0
24,KOSHMAN Nikita,UKR,,,2.0,2.0,,0.25,1.0,0.0,3.0,4.0,4.0,12.0,21.0,2.0,,,12.0,,5.0,61.0
