Rank,Name,Nat.,")AS(
amanaM
90/70",")AS(
araosimiT
90/02",")AS(
madretsmA
90/72",")AS(
orienaJ
ed
oiR
01/40",")AS(
eropagniS
01/11",")AS(
niromaS
01/81",")AS(
enolecraB
01/52",")A(
acrollaM
ed
amlaP
11/70",")A(
akoukuF
21/50",")A(
siraP
10/90",")PG(
niruT
20/60",")PG(
amiL
30/02",")A(
oriaC
40/61",")A(
lubnatsI
40/03",")PG(
iahgnahS
50/51",")ZHC(
najdibA
60/30",")ZHC(
amiL
60/71",")ZHC(
ynotnA
60/81",")ZHC(
ihleD
60/12",")MHC(
gnoK
gnoH
70/22",Points
1,CHOUPENITCH Alexander,CZE,,,,,,,,32.0,4.0,14.0,30.0,30.0,26.0,4.0,3.0,,,6.0,,80.0,218.0
2,BORODACHEV Kirill,RUS,,,,,,,,2.0,26.0,4.0,21.0,39.0,14.0,14.0,48.0,,,6.0,,35.0,189.0
3,BIANCHI Guillaume,ITA,,,,,,,,20.0,,20.0,48.0,48.0,8.0,8.0,6.0,,,12.0,,20.0,176.0
4,MACCHI Filippo,ITA,,,,,,,,2.0,14.0,14.0,12.0,3.0,8.0,32.0,12.0,,,21.0,,65.0,170.0
5,IIMURA Kazuki,JPN,,,,,,,,8.0,2.0,8.0,6.0,3.0,32.0,14.0,6.0,,,,39.0,50.0,157.0
6,MASSIALAS Alexander,USA,,,,,,,,4.0,20.0,32.0,12.0,,14.0,2.0,12.0,,48.0,,,10.0,148.0
7,CHOI Chun Yin Ryan,HKG,,,,,,,,2.0,32.0,26.0,3.0,21.0,2.0,8.0,6.0,,,,21.0,20.0,134.0
8,ITKIN Nick,USA,,,,,,,,2.0,14.0,4.0,39.0,21.0,20.0,8.0,3.0,,21.0,,,5.0,128.0
9,MARTINI Tommaso,ITA,,,,,,,,20.0,2.0,4.0,21.0,12.0,4.0,4.0,30.0,,,30.0,,5.0,122.0
10,SAVIN Rafael,FRA,,,,,,,,0.5,14.0,0.25,12.0,3.0,14.0,4.0,6.0,,,48.0,,20.0,118.0
11,DOSA Daniel,HUN,,,,,,2.0,,8.0,2.0,8.0,12.0,6.0,8.0,,,,,21.0,,50.0,113.0
12,CHEUNG Ka Long,HKG,,,,,,,,,4.0,4.0,30.0,30.0,4.0,2.0,3.0,,,,21.0,20.0,113.0
13,MARINI Tommaso,ITA,,,,,,,,4.0,4.0,14.0,3.0,12.0,2.0,20.0,6.0,,,21.0,,35.0,112.0
14,TOLBA Abdelrahman,EGY,,,,,,,,4.0,2.0,2.0,12.0,,8.0,4.0,6.0,48.0,,,,20.0,102.0
15,MATSUYAMA Kyosuke,JPN,,,,,,,,0.5,2.0,1.0,0.75,21.0,2.0,2.0,12.0,,,,48.0,5.0,92.0
16,RZADKOWSKI Andrzej,POL,,,,,,,2.0,2.0,2.0,,3.0,,1.0,2.0,39.0,,,39.0,,2.5,89.5
17,BARANNIKOV Egor,RUS,,,,,,,,4.0,1.0,8.0,3.0,,1.0,26.0,0.75,,,12.0,,35.0,89.0
18,OLIVARES Marcello,USA,,,,,,,,14.0,1.0,4.0,3.0,6.0,,14.0,6.0,,39.0,,,5.0,88.0
19,HAMZA Mohamed,EGY,,,,,,,,2.0,2.0,2.0,21.0,6.0,8.0,8.0,6.0,30.0,,,,5.0,84.0
20,BORODACHEV Anton,RUS,,,,,,,,14.0,4.0,8.0,0.75,12.0,2.0,4.0,6.0,,,30.0,,10.0,84.0
21,ANANE Anas,FRA,,,,,,,,2.0,8.0,1.0,12.0,12.0,20.0,8.0,3.0,,,3.0,,10.0,73.0
22,LOUIE Bryce,USA,,,,,,,,2.0,4.0,2.0,0.375,6.0,14.0,2.0,21.0,,21.0,,,5.0,73.0
23,SZEMES Gergo,HUN,,,,,,3.0,,26.0,2.0,4.0,3.0,,2.0,4.0,3.0,,,12.0,,20.0,72.0
24,TOLDO Guilherme,BRA,,,,2.0,,,,1.0,0.5,0.5,1.5,0.75,0.5,0.5,,,30.0,,,35.0,70.75
25,LLAVADOR Carlos,ESP,,,,,,,3.0,4.0,4.0,8.0,6.0,12.0,4.0,2.0,30.0,,,6.0,,2.5,68.5
26,HO Shing Him Harris,HKG,,,,,,,,8.0,2.0,1.0,3.0,21.0,1.0,2.0,12.0,,,,12.0,5.0,63.0
27,BABA Shunsuke,JPN,,,,,,,,0.5,2.0,4.0,21.0,6.0,2.0,4.0,3.0,,,,21.0,2.5,61.5
28,IM Cheolwoo,KOR,,,,,,,,0.25,0.5,2.0,0.75,6.0,1.0,0.5,0.75,,,,30.0,20.0,60.5
29,COOK Jaimie,GBR,,,4.0,,,,0.0,4.0,8.0,2.0,6.0,1.5,1.0,14.0,0.375,,,12.0,,10.0,58.0
30,PAUTY Maxime,FRA,,,,,,,,8.0,4.0,4.0,12.0,12.0,2.0,2.0,,,,12.0,,5.0,57.0
31,SOSNOV David,GBR,,,0.0,,,,,1.0,8.0,0.5,3.0,,0.5,0.25,21.0,,,12.0,,10.0,55.5
32,YOUN Jeonghyun,KOR,,,,,,,,1.0,2.0,1.0,1.5,6.0,2.0,0.25,3.0,,,,30.0,10.0,54.5
33,LOMBARDI Giulio,ITA,,,,,,,,4.0,20.0,20.0,3.0,3.0,4.0,4.0,3.0,,,,,,52.0
34,LYU Weiqiao,CHN,,,,,,,,2.0,1.0,2.0,3.0,1.5,4.0,4.0,3.0,,,,21.0,10.0,47.0
35,SAITO Toshiya,JPN,,,,,,,,2.0,8.0,4.0,3.0,0.75,0.5,1.0,12.0,,,,6.0,10.0,45.0
36,ROBIN Noe,SEN,,,,,,,,,,,,,1.0,1.0,0.0,39.0,,,,2.5,43.5
37,ZENG Zhaoran,CHN,,,,,,,,0.5,0.25,4.0,,,4.0,0.5,21.0,,,,12.0,1.25,43.25
38,LEE Kwanghyun,KOR,,,,,,,,2.0,4.0,0.5,0.75,3.0,8.0,2.0,3.0,,,,12.0,10.0,42.0
39,KAPPUS Bastian,GER,,,2.0,,,,4.0,2.0,0.0,4.0,0.0,3.0,1.0,2.0,,,,6.0,,20.0,41.0
40,OTAYZA Vicente,CHI,,,,4.0,,,0.0,0.5,,,,1.5,0.5,0.25,1.5,,30.0,,,2.5,40.5
41,CHEN Chih Chieh,TPE,,,,,4.0,,,14.0,0.25,0.5,1.5,1.5,2.0,4.0,3.0,,,,6.0,5.0,38.0
42,SIDO Alexandre,FRA,,,,,,,,1.0,2.0,4.0,0.375,3.0,8.0,8.0,3.0,,,6.0,,5.0,37.0
43,TOTH Gergely,HUN,,,,,,4.0,,2.0,4.0,2.0,3.0,3.0,1.0,4.0,1.5,,,12.0,,5.0,35.0
44,MACEDO Luis,ANG,2.0,0.0,,,,0.0,0.0,0.5,0.0,0.25,0.0,0.0,0.0,0.25,0.75,30.0,,,,1.25,35.0
45,RAJSKI Leszek,POL,,,,,,,0.0,2.0,2.0,8.0,3.0,,4.0,0.5,,,,6.0,,10.0,35.0
46,KLEIN Luis,GER,,,1.0,,,0.5,,0.5,4.0,2.0,0.375,12.0,2.0,0.5,3.0,,,6.0,,5.0,34.0
47,ALARCON Leopoldo,CHI,,,,3.0,,,0.25,0.25,,,,3.0,0.25,0.0,0.0,,21.0,,,5.0,32.75
48,KERIK Daniil,RUS,,,,,,,,0.5,14.0,2.0,0.375,,2.0,1.0,0.75,,,3.0,,10.0,32.75
49,HELMY-COCOYNACQ Adrien,FRA,,,,,,,,2.0,1.0,8.0,3.0,12.0,1.0,1.0,6.0,,,,,,31.0
50,MIHALYI Andor Istvan,HUN,,,,,,0.0,,,,2.0,0.375,1.5,1.0,2.0,0.375,,,21.0,,2.5,30.375
51,MEINHARDT Gerek,USA,,,,,,,,8.0,0.5,2.0,3.0,3.0,4.0,0.5,12.0,,,,,,30.0
52,BUDOVSKYI Borys,CAN,,,,,,,,0.25,1.0,2.0,,,,4.0,0.375,,21.0,,,1.25,29.875
