Rank,Name,Nat.,")AS(
aimrU
90/60",")AS(
kivajkyeR
90/12",")AS(
dnaG
90/82",")AS(
grebmeruN
01/11",")AS(
lubnatsI
01/81",")AS(
aifoS
01/62",")A(
reglA
11/60",")PG(
snaélrO
21/50",")PG(
sinuT
10/01",")A(
ytiC
ekaL
tlaS
10/32",")A(
tsepaduB
30/72",")A(
audaP
40/71",")PG(
noehcnI
50/10",")A(
oriaC
50/22",")ZHC(
najdibA
60/20",")ZHC(
amiL
60/51",")ZHC(
ynotnA
60/71",")ZHC(
ihleD
60/91",")MHC(
gnoK
gnoH
70/42",Points
1,PATRICE Sebastien,FRA,,,,,,,20.0,30.0,48.0,8.0,20.0,,48.0,,,,12.0,,20.0,198.0
2,DO Gyeongdong,KOR,,,,,,,14.0,12.0,6.0,14.0,8.0,20.0,21.0,14.0,,,,30.0,65.0,178.0
3,OH Sanguk,KOR,,,,,,,20.0,6.0,6.0,32.0,8.0,8.0,6.0,32.0,,,,48.0,10.0,158.0
4,PIANFETTI Maxime,FRA,,,,,,,14.0,12.0,21.0,4.0,14.0,20.0,39.0,,,,39.0,,10.0,157.0
5,GRAUDYN Pavel,RUS,,,,,,,8.0,1.5,3.0,,,26.0,21.0,8.0,,,6.0,,80.0,152.0
6,FERJANI Fares,TUN,,,,,,,26.0,21.0,12.0,2.0,4.0,2.0,30.0,,21.0,,,,35.0,149.0
7,HEATHCOCK Colin,USA,,,,,,,32.0,3.0,21.0,8.0,2.0,4.0,12.0,26.0,,39.0,,,5.0,143.0
8,HESHAM Ahmed,EGY,,,,,,,8.0,30.0,30.0,8.0,,8.0,,8.0,48.0,,,,10.0,142.0
9,RABB Krisztian,HUN,,,,,,,4.0,48.0,39.0,4.0,8.0,2.0,6.0,8.0,,,21.0,,5.0,135.0
10,BAZADZE Sandro,GEO,,,,,,,,21.0,,8.0,,8.0,30.0,20.0,,,12.0,,35.0,134.0
11,MORRILL William,USA,,,,,,,4.0,3.0,12.0,8.0,32.0,8.0,6.0,14.0,,48.0,,,10.0,132.0
12,KINDLER Frederic,GER,,,,,,,,39.0,12.0,4.0,2.0,4.0,21.0,20.0,,,12.0,,5.0,113.0
13,PATRICE Jean-Philippe,FRA,,,,,,,4.0,3.0,30.0,4.0,4.0,4.0,6.0,2.0,,,48.0,,10.0,106.0
14,AMER Mohamed,EGY,,,,,,,,,,4.0,14.0,4.0,,4.0,30.0,,,,50.0,106.0
15,KOKUBO Mao,JPN,,,,,,,8.0,12.0,12.0,26.0,2.0,4.0,12.0,2.0,,,,21.0,10.0,101.0
16,IBRAGIMOV Kamil,RUS,,,,,,,1.0,,3.0,2.0,4.0,32.0,12.0,2.0,,,21.0,,20.0,94.0
17,SZILAGYI Aron,HUN,,,,,,,,6.0,,8.0,20.0,2.0,,8.0,,,12.0,,35.0,91.0
18,ELSISSY Ziad,EGY,,,,,,,,6.0,12.0,20.0,2.0,,6.0,2.0,39.0,,,,5.0,90.0
19,LUKASHENKO Darii,USA,,,,,,,0.5,1.5,3.0,1.0,4.0,2.0,3.0,8.0,,30.0,,,35.0,85.0
20,COVALIU Vlad,ROU,,,,,,,14.0,3.0,3.0,14.0,8.0,14.0,,8.0,,,6.0,,20.0,84.0
21,MOATAZ Adham,EGY,,,,,,,8.0,3.0,12.0,8.0,4.0,2.0,6.0,2.0,30.0,,,,5.0,73.0
22,GARRIGUE Remi,FRA,,,,,,,2.0,6.0,3.0,2.0,14.0,4.0,21.0,14.0,,,6.0,,5.0,70.0
23,LUO Shaotong,CHN,,,,,,,,0.75,,1.0,2.0,4.0,1.5,1.0,,,,39.0,20.0,68.5
24,DRAGOMIR George,ROU,,,,,,0.25,0.25,21.0,3.0,1.0,4.0,2.0,0.75,1.0,,,30.0,,5.0,66.0
25,NITU Radu,ROU,,,,,,,2.0,1.5,3.0,2.0,2.0,4.0,,0.5,,,3.0,,50.0,66.0
26,PARK Sangwon,KOR,,,,,,,4.0,6.0,21.0,14.0,4.0,1.0,3.0,2.0,,,,6.0,10.0,65.0
27,SHEN Chenpeng,CHN,,,,,,,,12.0,,2.0,4.0,0.5,3.0,2.0,,,,21.0,20.0,64.0
28,BERTINI Cosimo,ITA,,,,,,,1.0,12.0,1.5,20.0,2.0,1.0,3.0,14.0,,,6.0,,5.0,62.0
29,GALLO Michele,ITA,,,,,,,2.0,3.0,,,8.0,8.0,6.0,1.0,,,21.0,,10.0,58.0
30,TSUMORI Shido,JPN,,,,,,,4.0,3.0,3.0,,2.0,,12.0,2.0,,,,30.0,2.5,56.5
31,MADRIGAL Santiago,ESP,,,2.0,,,,2.0,3.0,3.0,0.25,8.0,14.0,1.5,,,,6.0,,20.0,56.0
32,NERI Matteo,ITA,,,,,,,2.0,3.0,6.0,4.0,26.0,4.0,3.0,4.0,,,6.0,,5.0,55.0
33,TORRE Pietro,ITA,,,,,,,1.0,6.0,21.0,4.0,8.0,2.0,3.0,2.0,,,6.0,,5.0,53.0
34,SZATMARI Andras,HUN,,,,,,,,6.0,6.0,1.0,2.0,1.0,0.0,4.0,,,30.0,,,49.0
35,HEATHCOCK Antonio,USA,,,,,,,,3.0,6.0,4.0,14.0,2.0,3.0,4.0,,12.0,,,5.0,48.0
36,HWANG Heegeun,KOR,,,,,,,2.0,6.0,,1.0,,1.0,6.0,2.0,,,,21.0,10.0,48.0
37,YILDIRIM Enver,TUR,,,,4.0,0.25,,2.0,0.75,3.0,0.5,4.0,8.0,1.5,2.0,,,21.0,,2.5,44.5
38,TSUBO Hayato,JPN,,,,,,,2.0,6.0,6.0,,2.0,4.0,3.0,2.0,,,,12.0,10.0,43.0
39,ROMERO Eliecer,VEN,,,,,,,0.0,,3.0,,0.5,2.0,0.75,0.5,,30.0,,,2.5,39.25
40,GU Bongil,KOR,,,,,,,2.0,3.0,6.0,14.0,4.0,2.0,12.0,,,,,,,39.0
41,PAKDAMAN Ali,IRI,,,,,,,,,6.0,,,,,,,,,12.0,20.0,38.0
42,SZABO Matyas,GER,,,,,,,,,,,4.0,1.0,12.0,4.0,,,6.0,,10.0,37.0
43,URSACHI Razvan,ROU,,,,,,3.0,4.0,1.5,1.5,2.0,2.0,14.0,6.0,2.0,,,6.0,,1.25,36.25
44,CHAN Lok Hei Royce,HKG,,,,,,,1.0,0.375,1.5,0.5,4.0,2.0,0.0,0.5,,,,21.0,5.0,35.0
45,DUCERF Benjamin,FRA,,,,,,,4.0,12.0,1.5,4.0,0.25,1.0,12.0,2.0,,,,,,34.0
46,HO Pak Lam Hugo,HKG,,,,,,,1.0,3.0,0.75,1.0,2.0,0.25,0.75,1.0,,,,6.0,20.0,34.0
47,CURATOLI Luca,ITA,,,,,,,4.0,3.0,,,8.0,14.0,3.0,4.0,,,,,,33.0
48,AYMURATOV Musa,UZB,,,4.0,,2.0,,14.0,0.75,1.5,2.0,1.0,0.0,1.5,2.0,,,,3.0,5.0,32.0
49,STREETS Kaito,JPN,,,,,,,4.0,0.75,6.0,2.0,1.0,1.0,0.75,4.0,,,,12.0,2.5,31.5
50,SARKISSYAN Artyom,KAZ,,,,,,,1.0,6.0,3.0,,2.0,0.25,0.0,2.0,,,,12.0,5.0,31.0
51,MASTRULLO Marco,ITA,,,,,,,0.25,6.0,1.5,2.0,1.0,8.0,12.0,2.0,,,,,,30.0
52,DREOSSI Leonardo,ITA,,,,,0.5,,2.0,21.0,1.5,2.0,2.0,1.0,1.5,2.0,,,,,,29.0
53,ABDAZOV Islambek,UZB,,,0.25,,0.25,,0.25,0.0,0.75,2.0,0.25,0.25,3.0,1.0,,,,12.0,10.0,29.0
54,LIM Jaeyoon,KOR,,,,,,,4.0,12.0,3.0,0.5,0.5,2.0,6.0,1.0,,,,,,27.0
55,NASONOV Dmitriy,RUS,,,,,,,0.25,0.75,1.5,4.0,2.0,2.0,6.0,4.0,,,6.0,,2.5,26.5
56,QUINTERO Jose,VEN,,,,,,,0.5,,,,1.0,0.5,,0.5,,21.0,,,2.5,26.0
57,METHNER Philipp,GER,,,,0.5,,,1.0,6.0,1.5,0.5,0.0,1.0,,0.25,,,6.0,,10.0,26.0
58,KALENDER Enes Talha,TUR,0.5,,,,4.0,,4.0,,6.0,0.0,,0.25,3.0,0.25,,,3.0,,5.0,25.5
59,CAVALIERE Dario,ITA,,,,,,,8.0,3.0,6.0,2.0,4.0,1.0,0.0,4.0,,,,,,25.0
60,CASAUS PIELAGO Jorge,ESP,,,,,,,1.0,0.75,1.5,8.0,,0.5,0.0,0.25,,,3.0,,10.0,24.75
61,YAMAN Furkan,TUR,,4.0,,,0.25,,0.25,,1.5,4.0,,1.0,6.0,1.0,,,3.0,,5.0,24.5
62,URAKBAEV Alpamis,UZB,,,,,0.5,,1.0,1.5,1.5,1.0,,0.25,0.0,8.0,,,,6.0,5.0,24.0
63,HA Hansol,KOR,,,,,,,8.0,6.0,6.0,2.0,2.0,2.0,1.5,,,,,,,24.0
64,BOUNACHADA Zacharia,ALG,,,,,,,0.0,,,0.25,,,0.0,,21.0,,,,2.5,23.75
65,KOSTENKO Anatoliy,RUS,,,,,,,2.0,3.0,3.0,2.0,2.0,0.5,3.0,,,,,,10.0,23.0
66,ABDUKARIMBEKOV Sardor,UZB,,,,,1.0,,0.5,0.75,0.0,1.0,,1.0,1.5,1.0,,,,12.0,5.0,22.5
67,MARTINE Thomas,FRA,,,1.0,,,,2.0,3.0,12.0,0.5,1.0,2.0,3.0,1.0,,,,,,22.0
68,BROU Inkosi,NGR,,0.5,,,0.0,,,,,0.25,,,,0.0,21.0,,,,0.0,21.75
69,DESROSIERS Olivier,CAN,,,,,,,,0.75,1.5,4.0,0.5,,,0.5,,12.0,,,2.5,21.75
70,DANILENKO Dmitriy,RUS,,,,,,,4.0,3.0,,,0.25,0.5,,2.0,,,12.0,,,21.75
71,WEI Zhenhao,CHN,,,,,,,,,,2.0,1.0,0.5,3.0,2.0,,,,3.0,10.0,21.5
72,BACHA Juan,ARG,,,,,,,,,,,,,,,,21.0,,,,21.0
73,SAMAKE Mahamadou,MLI,,,,,,,,,,,,,,,21.0,,,,0.0,21.0
74,DI TELLA Pascual Maria,ARG,,,,,,,,,,,,,,,,21.0,,,,21.0
75,FIGUEREDO SULIVERES Adrian,PUR,,,,,,,,,,0.0,,,,,,21.0,,,,21.0
76,CANTINI Edoardo,ITA,,,,,,,1.0,1.5,12.0,1.0,0.5,2.0,1.5,4.0,,,,,,21.0
77,BOUREAU Paco,FRA,,,,,,,1.0,6.0,1.5,2.0,4.0,4.0,3.0,4.0,,,,,,21.0
78,NORRIS Roman,CAN,,,,0.25,,0.25,,0.375,0.0,1.0,0.5,0.25,0.75,0.5,,12.0,,,5.0,20.125
79,YAGODKA Andriy,UKR,,,3.0,,,1.0,1.0,,,2.0,0.5,0.5,,0.5,,,12.0,,,19.5
80,FLOREZ Jaime,ESP,,,,,,,0.5,0.0,0.75,4.0,1.0,1.0,1.5,1.0,,,6.0,,5.0,19.5
81,SCHLAFFER Leon,GER,,,,0.25,,,8.0,0.75,1.5,2.0,0.25,0.25,1.5,0.5,,,3.0,,2.5,19.25
82,SATTARKHAN Nazarbay,KAZ,,,,,,,0.0,1.5,0.0,,0.5,4.0,1.5,0.5,,,,6.0,5.0,19.0
83,OLLIVIER Leandre,FRA,,,,,,,4.0,0.75,6.0,2.0,2.0,2.0,3.0,4.0,,,,,,19.0
84,HO Sze Long Aaron,HKG,,,,,,,0.25,3.0,0.75,0.5,0.5,2.0,1.5,0.5,,,,6.0,5.0,18.75
85,STOYCHEV Todor,BUL,,,,0.0,0.0,1.0,0.0,0.375,,0.5,0.25,8.0,1.5,2.0,,,3.0,,2.5,18.5
86,TAVARTKILADZE Aleksandre,GEO,,,,,,,1.0,1.5,,,,0.5,,0.5,,,12.0,,2.5,18.0
87,STASIAK Olaf,POL,,,,,,4.0,0.0,3.0,,0.5,2.0,0.25,,,,,3.0,,5.0,17.75
88,DALLOS Benedek,HUN,,,,2.0,,,,,3.0,2.0,0.5,2.0,,0.5,,,3.0,,5.0,17.5
89,FRUMGARZTS David Shlomo,ISR,,,,,,,,3.0,,4.0,,,3.0,,,,6.0,,1.25,17.25
90,BEN AVRAM Lev,USA,,,,,,,2.0,6.0,3.0,0.5,1.0,2.0,1.5,4.0,,,,,,17.0
91,NABIYEV Zhanat,KAZ,,,,,,,0.5,1.5,0.75,,0.5,0.25,1.5,0.25,,,,12.0,,16.75
92,RIKITAKE Yuto,JPN,,,,,,,8.0,0.75,0.0,2.0,1.0,0.0,3.0,2.0,,,,,,16.0
93,KIM Jaewon,KOR,,,,,,,,3.0,,,2.0,,3.0,8.0,,,,,,16.0
94,HOMER Daryl,USA,,,,,,,4.0,0.75,3.0,2.0,4.0,2.0,3.0,1.0,,,,,,16.0
95,BIRO Huba,HUN,,,,1.0,,,,12.0,1.5,0.0,1.0,0.25,,,,,,,,15.75
96,LIN Xiao,CHN,,,,,,,,,,0.25,0.25,1.0,3.0,0.25,,,,6.0,5.0,15.75
97,HRYCIUK Szymon,POL,,,,,,,,,,1.0,2.0,2.0,,2.0,,,6.0,,2.5,15.5
98,DENKIEWICZ Benedykt,POL,,,,,,,2.0,3.0,,0.5,,1.0,,1.0,,,3.0,,5.0,15.5
99,KUMARESAN PADMA Gisho Nidhi,IND,,,,,,,,1.5,3.0,,0.0,1.0,,2.0,,,,6.0,1.25,14.75
100,TANISHITA Naoya,JPN,,,,,,,0.0,0.75,0.75,2.0,0.25,4.0,6.0,2.0,,,,,,14.75
101,PEKELMAN Bruno,BRA,,,,,,,,,,,,,,,,12.0,,,2.5,14.5
102,HUSEYNLI Magsud,AZE,,,,,,,,,,,,,,,,,12.0,,2.5,14.5
103,YOSHIDA Kento,JPN,,,,,,,2.0,1.5,3.0,4.0,1.0,1.0,0.0,4.0,,,,,,14.5
104,MCCARTHY Gabriel Malik Abrous,ALG,,0.5,,,,,0.25,,,,,,,0.0,12.0,,,,1.25,14.0
105,ALVAREZ Ricardo,CHI,,,,,,0.25,0.0,,,,0.25,0.0,,0.0,,12.0,,,1.25,13.75
106,LEE Chun Lam Marco,HKG,,,,,,,0.0,0.375,3.0,1.0,1.0,1.0,0.0,0.5,,,,6.0,1.25,13.75
107,BAHAMONDE Manuel,CHI,,,,,,0.25,0.0,,,,0.0,0.0,,0.0,,12.0,,,1.25,13.5
108,MATEEV Andri Nikolaysson,ISL,,2.0,,,,0.25,1.0,0.0,3.0,0.5,0.25,0.5,0.75,0.5,,,6.0,,0.0,13.25
109,BOUNABI Akram,ALG,,,,,,,0.0,,0.0,,,,,,12.0,,,,1.25,13.25
110,NGUYEN Xuan Loi,VIE,,,,,,,,,,,,,0.0,,,,,12.0,1.25,13.25
111,KARGARPUR Taha,IRI,4.0,,,,,,0.0,,,,,0.5,,,,,,6.0,2.5,13.0
112,CIDU Matei,ROU,,,,,,2.0,2.0,0.75,3.0,1.0,2.0,0.5,,4.0,,,,,,13.0
113,TOTH Bertalan,HUN,,,,,,,2.0,3.0,1.5,,0.25,1.0,,0.25,,,,,5.0,12.75
114,STIGLIANO Marco,ITA,,,,3.0,,,,3.0,3.0,2.0,0.5,0.25,1.5,0.5,,,,,,12.5
115,ZAHEDI Nima,IRI,3.0,,,,,,2.0,0.375,1.5,,,,,,,,,3.0,2.5,12.375
116,IBRIHEN Lotfi,ALG,,,,,,,0.0,,0.0,,,,,,12.0,,,,0.0,12.0
117,WOODWARD Dylan,PUR,,,,,,,,,,0.0,,,,,,12.0,,,,12.0
117,THIAM Code,SEN,,,,,,,0.0,,,,,,,,12.0,,,,,12.0
119,AKINYOSOYE Oluwafolayemi,NGR,,,,,,,,0.0,,,,,,,12.0,,,,0.0,12.0
120,WOLFF Arthur,BRA,,,,,,,,0.0,,,,,,,,12.0,,,,12.0
121,DIAME Famara,SEN,,,,,,,,,,,,,,,12.0,,,,,12.0
122,MBAYE Moustapha,SEN,,,,,,,0.0,,,,,,,,12.0,,,,,12.0
123,BALLO Boubacar,MLI,,,,,,,,,,,,,,,12.0,,,,,12.0
124,SZCZEPANIK Piotr,POL,,,,,,0.5,2.0,0.0,,,0.0,1.0,,0.25,,,3.0,,5.0,11.75
