Rank,Name,Nat.,21/09 Belgrade (SA),28/09 Gand (SA),05/10 Genève (SA),12/10 Split (SA),19/10 Dublin (SA),26/10 Barcelone (SA),04/12 Vancouver (A),08/01 Fujairah (A),23/01 Doha (GP),06/02 Wuxi (A),27/03 Astana (A),17/04 Budapest (GP),09/05 Medellín (GP),22/05 St-Maur (A),02/06 Abidjan (CHZ),17/06 Lima (CHZ),18/06 Antony (CHZ),21/06 Delhi (CHZ),22/07 Hong Kong (CHM),Total points
1,SANTUCCIO Alberta,ITA,,,,,,,14.0,26.0,21.0,26.0,20.0,6.0,48.0,32.0,,,12.0,,35.0,200.0
2,MUHARI Eszter,HUN,,,,,,,20.0,2.0,48.0,2.0,14.0,39.0,39.0,4.0,,,30.0,,10.0,200.0
3,SONG Sera,KOR,,,,,,,4.0,14.0,21.0,2.0,32.0,12.0,6.0,8.0,,,,30.0,80.0,197.0
4,LEHIS Katrina,EST,,,,,,,8.0,14.0,6.0,,26.0,48.0,30.0,14.0,,,48.0,,10.0,190.0
5,RIZZI Giulia,ITA,,,,,,,32.0,8.0,3.0,32.0,2.0,3.0,6.0,4.0,,,21.0,,65.0,168.0
6,HUSISIAN Hadley,USA,,,,,,,4.0,20.0,12.0,,4.0,3.0,12.0,26.0,,39.0,,,35.0,148.0
7,CANDASSAMY Marie-Florence,FRA,,,,,,,26.0,32.0,30.0,2.0,2.0,3.0,30.0,4.0,,,6.0,,10.0,138.0
8,LOUIS MARIE Alexandra,FRA,,,,,,,2.0,14.0,39.0,14.0,2.0,3.0,21.0,8.0,,,21.0,,5.0,122.0
9,MAKSYMENKO Anna,UKR,,,,2.0,,,4.0,4.0,30.0,8.0,14.0,12.0,12.0,2.0,,,21.0,,10.0,107.0
10,TANG Junyao,CHN,,,,,,,14.0,4.0,,20.0,1.0,0.75,,0.5,,,,12.0,50.0,101.75
11,NDOLO Alexandra,KEN,,,,,,3.0,2.0,8.0,3.0,,2.0,6.0,12.0,14.0,48.0,,,,5.0,96.0
12,MALLO-BRETON Auriane,FRA,,,,,,,,,,,,30.0,3.0,8.0,,,12.0,,35.0,88.0
13,HSIEH Kaylin Sin Yan,HKG,,,,,,,8.0,8.0,3.0,4.0,8.0,3.0,6.0,8.0,,,,39.0,10.0,87.0
14,LIM Taehee,KOR,,,,,,,20.0,2.0,12.0,4.0,4.0,12.0,6.0,20.0,,,,6.0,10.0,86.0
15,NIXON Catherine,USA,,,,,,,4.0,8.0,12.0,2.0,14.0,3.0,12.0,14.0,,21.0,,,5.0,86.0
16,VAN BRUMMEN Anna,USA,,,,,,,1.0,,12.0,1.0,1.0,,3.0,4.0,,48.0,,,5.0,74.0
17,TERAYAMA Tamaki,JPN,,,,,,,2.0,0.0,0.75,8.0,4.0,1.5,6.0,0.25,,,,30.0,20.0,71.5
18,XIAO Ruien,CAN,,,,,,,4.0,2.0,3.0,,,6.0,6.0,2.0,,30.0,,,20.0,71.0
19,VON KERSSENBROCK Diane,FRA,,,,,,,4.0,0.5,3.0,8.0,20.0,21.0,1.5,4.0,,,12.0,,1.25,70.25
20,EHLER Alexandra,GER,,,,,,,1.0,2.0,1.5,4.0,1.0,1.5,12.0,4.0,,,39.0,,5.0,67.5
21,BRYCH Barbara,POL,,,,3.0,,,1.0,0.5,6.0,1.0,4.0,3.0,,0.25,,,,,50.0,67.0
22,KLASIK Alicja,POL,,,,0.5,,,8.0,0.5,6.0,0.5,4.0,1.5,,4.0,,,30.0,,10.0,63.5
23,YANG Jingwen,CHN,,,,,,,1.0,2.0,,2.0,8.0,6.0,,20.0,,,,21.0,2.5,61.5
24,BAKALDINA Irina,KAZ,,,,,,,,,,,8.0,,,,,,,48.0,5.0,61.0
25,NAGY Blanka Virag,HUN,0.25,,,,,,,1.0,3.0,,,21.0,3.0,0.5,,,12.0,,20.0,60.5
26,OXENREIDER Tierna,USA,,,,,,,2.0,,,,2.0,3.0,21.0,1.0,,21.0,,,10.0,60.0
27,LEE Hyein,KOR,,,,,,,0.5,20.0,,2.0,4.0,3.0,6.0,2.0,,,,21.0,2.5,58.5
28,FIAMINGO Rossella,ITA,,,,,,,2.0,8.0,12.0,20.0,2.0,6.0,3.0,2.0,,,3.0,,5.0,57.0
29,LUTY Aliya,FRA,,,,,,,4.0,4.0,0.75,14.0,0.5,12.0,21.0,2.0,,,,,,55.0
30,YU Sihan,CHN,,,,,,,2.0,4.0,,8.0,8.0,0.75,,2.0,,,,6.0,20.0,50.0
31,CAFORIO Gaia,ITA,,,,,,,0.5,0.5,6.0,1.0,8.0,1.5,12.0,2.0,,,,,20.0,49.5
32,XUAN Nicole,CAN,,,,,,,1.0,,,,,12.0,,0.25,,30.0,,,5.0,48.25
33,TAHE Oceane,CIV,,0.25,1.0,,,1.0,,,3.0,,,0.0,,0.0,39.0,,,,2.5,46.75
34,BUKI Lili,HUN,4.0,,,,,,2.0,1.0,21.0,4.0,2.0,6.0,3.0,2.0,,,6.0,,2.5,46.5
35,LIU Chang,CHN,,,,,,,,14.0,,2.0,2.0,3.0,,0.5,,,,21.0,2.5,45.0
36,BRUNNER Pauline,SUI,,,2.0,,,,8.0,4.0,3.0,2.0,2.0,0.0,3.0,2.0,,,3.0,,20.0,43.0
