Rank,Name,Nat.,")AS(
amanaM
90/60",")AS(
araosimiT
90/12",")AS(
madretsmA
90/82",")AS(
orienaJ
ed
oiR
01/50",")AS(
eropagniS
01/21",")AS(
niromaS
01/81",")AS(
enolecraB
01/52",")A(
acrollaM
ed
amlaP
11/60",")A(
nasuB
21/50",")A(
gnoK
gnoH
10/90",")PG(
niruT
20/50",")PG(
amiL
30/12",")A(
oriaC
40/71",")A(
lubnatsI
50/10",")PG(
iahgnahS
50/61",")ZHC(
najdibA
60/10",")ZHC(
amiL
60/51",")ZHC(
ynotnA
60/71",")ZHC(
ihleD
60/91",")MHC(
gnoK
gnoH
70/42",Points
1,FAVARETTO Martina,ITA,,,,,,,,32.0,20.0,8.0,,30.0,32.0,32.0,12.0,,,6.0,,80.0,232.0
2,BATINI Martina,ITA,,,,,,,,2.0,32.0,4.0,48.0,3.0,26.0,8.0,48.0,,,12.0,,35.0,209.0
3,UENO Yuka,JPN,,,,,,,,26.0,26.0,8.0,12.0,3.0,4.0,8.0,39.0,,,,48.0,50.0,209.0
4,ERRIGO Arianna,ITA,,,,,,,,8.0,4.0,8.0,39.0,12.0,14.0,26.0,6.0,,,39.0,,65.0,203.0
5,SCRUGGS Lauren,USA,,,,,,,,4.0,20.0,4.0,6.0,39.0,2.0,8.0,12.0,,30.0,,,35.0,150.0
6,KIKUCHI Komaki,JPN,,,,,,,,20.0,14.0,14.0,30.0,3.0,4.0,4.0,12.0,,,,30.0,20.0,140.0
7,CRISTINO Anna,ITA,,,,,,,,4.0,14.0,,3.0,3.0,14.0,14.0,30.0,,,12.0,,35.0,123.0
8,AZUMA Sera,JPN,,,,,,,,2.0,4.0,8.0,30.0,3.0,20.0,2.0,6.0,,,,39.0,10.0,117.0
9,MARTYANOVA Marta,RUS,,,,,,,,14.0,4.0,20.0,3.0,,2.0,2.0,30.0,,,21.0,,20.0,112.0
10,STUTCHBURY Carolina,USA,,,,,,,,8.0,8.0,4.0,,,8.0,14.0,12.0,,39.0,,,20.0,109.0
11,HARVEY Eleanor,CAN,,,,,,,,20.0,14.0,4.0,6.0,,,,6.0,,48.0,,,10.0,108.0
12,KIEFER Lee,USA,,,,,,,,4.0,8.0,32.0,12.0,6.0,8.0,4.0,3.0,,30.0,,,,96.0
13,VOLPI Alice,ITA,,,,,,,4.0,2.0,1.0,8.0,6.0,48.0,14.0,8.0,12.0,,,,,,90.0
14,SOPIT Olga,UKR,,,,,,,,2.0,1.0,8.0,3.0,21.0,0.5,2.0,,,,48.0,,5.0,89.0
15,PASZTOR Flora,HUN,,,,,,1.0,,2.0,8.0,4.0,6.0,21.0,2.0,4.0,6.0,,,21.0,,20.0,86.0
16,TSUJI Sumire,JPN,,,,,,,,4.0,4.0,2.0,12.0,6.0,8.0,8.0,21.0,,,,21.0,5.0,81.0
17,POLOZIUK Alina,UKR,,4.0,,,,,2.0,1.0,0.5,2.0,3.0,,2.0,2.0,3.0,,,12.0,,50.0,76.0
18,RANVIER Pauline,FRA,,,,,,,,14.0,2.0,2.0,6.0,3.0,2.0,20.0,21.0,,,6.0,,5.0,75.0
19,PENIUSHKINA Vladislava,RUS,,,,,4.0,,,0.5,1.0,2.0,0.75,,4.0,20.0,1.5,,,30.0,,10.0,71.5
