Rank,Name,Nat.,20/09 Reykjavik (SA),27/09 Gand (SA),11/10 Nuremberg (SA),18/10 Istanbul (SA),25/10 Sofia (SA),07/11 Alger (A),04/12 Orléans (GP),09/01 Tunis (GP),22/01 Salt Lake City (A),27/03 Tashkent (A),17/04 Athènes (A),02/05 Incheon (GP),22/05 Lima (A),03/06 Abidjan (CHZ),16/06 Antony (CHZ),16/06 Lima (CHZ),20/06 Delhi (CHZ),23/07 Hong Kong (CHM),Total points
1,EGORIAN Yana,RUS,,,,,,,6.0,12.0,20.0,8.0,26.0,48.0,20.0,,39.0,,,10.0,175.0
2,BATTAI Sugar Katinka,HUN,,,,,,26.0,6.0,12.0,14.0,2.0,32.0,3.0,20.0,,21.0,,,50.0,175.0
3,MIKHAILOVA Alina,RUS,,,,,,20.0,12.0,48.0,4.0,32.0,2.0,12.0,14.0,,12.0,,,35.0,173.0
4,ILIEVA Yoana,BUL,,,,,4.0,20.0,21.0,21.0,8.0,26.0,4.0,30.0,4.0,,21.0,,,20.0,159.0
5,MARTIN-PORTUGUES Lucia,ESP,,,,,,14.0,3.0,30.0,14.0,14.0,8.0,6.0,4.0,,48.0,,,20.0,148.0
6,NOUTCHA Sarah,FRA,,,,,,,,6.0,32.0,,14.0,6.0,32.0,,21.0,,,35.0,146.0
7,BALZER Sara,FRA,,,,,,8.0,30.0,3.0,8.0,,8.0,21.0,8.0,,6.0,,,65.0,146.0
8,TORI Toscane,FRA,,,,,,2.0,,21.0,4.0,,4.0,3.0,14.0,,30.0,,,50.0,126.0
9,BATTISTON Michela,ITA,,,,,,2.0,48.0,12.0,20.0,8.0,8.0,3.0,4.0,,6.0,,,20.0,122.0
10,EIFLER Larissa,GER,,,4.0,,,,12.0,3.0,4.0,,,3.0,8.0,,3.0,,,80.0,114.0
11,JEON Hayoung,KOR,,,,,,32.0,12.0,21.0,8.0,2.0,8.0,3.0,8.0,,,,12.0,20.0,113.0
12,EMURA Misaki,JPN,,,,,,,6.0,39.0,26.0,8.0,,,,,,,12.0,20.0,111.0
13,CHAMBERLAIN Maia,USA,,,,,,4.0,3.0,6.0,8.0,8.0,14.0,39.0,8.0,,,12.0,,20.0,109.0
14,CHOI Sebin,KOR,,,,,,,,,,1.0,0.5,1.5,26.0,,,,39.0,35.0,103.0
